ID,Predicted
21990,0.26
6594,0.31
18525,0.47
23747,0.4951428571428572
37752,0.44
15379,0.4
23237,0.32
5302,0.9
29910,0.35
5884,0.47
30121,0.59
18830,0.46
7258,0.92
39578,0.26
39356,0.43
12182,0.47
22242,0.52
23632,0.43
19671,0.85
8659,0.24
43512,0.36
9607,0.64
4996,0.42166666666666663
4878,0.32
43923,0.3
42117,0.26
1232,0.47
34468,0.32
17925,0.25
42518,0.46
8937,0.45
34511,0.34
41357,0.24
4458,0.2
30489,0.4
16857,0.22
38774,0.3
12408,0.53
6144,0.42
12233,0.42
11821,0.76
23457,0.32
38715,0.32
5631,0.37
41432,0.52
5542,0.38
21413,0.75
36957,0.56
45094,0.3
29184,0.46
10658,0.43
12393,0.38
36058,0.8
22262,0.33
32332,0.44
2508,0.44
42066,0.4
19982,0.31
37212,0.7
14222,0.23
38196,0.33
23936,0.26
12220,0.86
32970,0.38
16435,0.56
15020,0.34
24143,0.3142857142857143
13718,0.47
23200,0.94
24071,0.31
42775,0.39
36284,0.3
33211,0.7
21280,0.35
26261,0.28
15283,0.79
9019,0.4
38909,0.48
44407,0.28
4009,0.84
33525,0.47
41646,0.26
32844,0.33
11811,0.27
39160,0.45
13726,0.26
26796,0.21
239,0.36
33264,0.34
39379,0.45
39701,0.35
15794,0.6766666666666667
6875,0.45
7020,0.32
10484,0.36
35470,0.84
2783,0.94
31159,0.29
29159,0.39
4334,0.39
36788,0.45
25953,0.22
26006,0.72
31508,0.64
37641,0.34
36412,0.22
19968,0.21
42340,0.26
35902,0.47
24811,0.93
3216,0.64
17239,0.26
36241,0.39
18998,0.42
20871,0.29
17556,0.45
15501,0.38
42469,0.36
8831,0.28
37191,0.49
12093,0.8
6791,0.88
1034,0.42
1881,0.51
38118,0.35
47548,0.43
5990,0.41
6576,0.35
35977,0.39
11674,0.88
20249,0.47
22702,0.32
24666,0.84
20653,0.42
34389,0.37
22829,0.66
8537,0.43
25004,0.97
35973,0.61
38181,0.31
43168,0.49
700,0.3
46063,0.87
23090,0.21
24530,0.47
23704,0.45
1051,0.91
43234,0.31
2282,0.19
28931,0.3
20861,0.5216666666666666
39179,0.28
18466,0.28
5921,0.29
43037,0.32
6612,0.44
15865,0.64
31841,0.47
13752,0.35
36912,0.34
40138,0.4042857142857143
41440,0.44
32943,0.48
14433,0.41
21665,0.29
42817,0.52
16974,0.47
2248,0.21
7047,0.32
17960,0.65
6670,0.3
1116,0.94
27307,0.23
39264,0.36
4803,0.29
42049,0.31
46322,0.91
20204,0.43
28298,0.47
37921,0.31
30583,0.44
29332,0.44
33579,0.93
1263,0.2542857142857143
6613,0.35
40405,0.65
31563,0.6
26563,0.6766666666666667
44672,0.5
25161,0.3
12228,0.24
35368,0.62
17055,0.43
30037,0.31
36647,0.7
9410,0.27
40760,0.28
45184,0.6
45330,0.41
4710,0.39
34047,0.32
11810,0.54
21439,0.42
9378,0.2
37414,0.3
35458,0.84
8674,0.42
16152,0.36
19263,0.41
5682,0.27
43726,0.28428571428571425
7668,0.32
45192,0.31
23326,0.41
40585,0.48
15460,0.35
5300,0.26
41447,0.2
13728,0.36
47897,0.43
22857,0.93
7444,0.54
16806,0.93
8250,0.44
37022,0.27
34591,0.54
42317,0.41
37780,0.79
28230,0.57
38713,0.47
1221,0.48
12749,0.25
42663,0.26
28063,0.83
33963,0.34
23250,0.27
3647,0.42
13816,0.6
5176,0.42
9399,0.76
31124,0.23
1362,0.35
46627,0.41
40588,0.24
31704,0.25
34477,0.26
46346,0.35
25998,0.41
23092,0.43
6849,0.46
498,0.65
14652,0.5916666666666667
32045,0.54
21763,0.4
11250,0.5
38904,0.36
8080,0.49
6854,0.48
41126,0.64
3850,0.5
41405,0.27
38620,0.41
22286,0.45
33778,0.4
33392,0.35
12035,0.42
22236,0.27
47188,0.31
2516,0.28
39382,0.44
20094,0.89
44878,0.28
38411,0.37
11579,0.59
569,0.25
462,0.45
20770,0.4951428571428572
17928,0.53
9431,0.43
31551,0.41
46182,0.28
47884,0.47
34602,0.92
33078,0.42
22815,0.47
34795,0.65
8415,0.33
24289,0.43
15801,0.6
25473,0.47
21326,0.3
24932,0.37
26339,0.74
43797,0.96
8637,0.38
20708,0.35
11637,0.34
26260,0.54
33801,0.2
41287,0.45
736,0.58
40639,0.36
30564,0.44
46534,0.34
44392,0.34
1515,0.38
15200,0.38
5644,0.27
21121,0.48
9550,0.54
3794,0.4
28849,0.4
42822,0.27
11941,0.36
39088,0.32
10560,0.41
26787,0.44
35746,0.38
16457,0.61
9748,0.5
13988,0.56
29369,0.76
10064,0.42
11326,0.33
24673,0.44
811,0.36
28020,0.53
11445,0.44
23793,0.44
24012,0.43
12021,0.37
10938,0.3
42194,0.28
36917,0.35
24168,0.36
7534,0.44
3642,0.47
41768,0.46
38254,0.41
14118,0.4
1885,0.35
21977,0.89
30279,0.22
26094,0.3
39588,0.3
20019,0.31
21288,0.35
34661,0.37
32926,0.31
20113,0.275
550,0.56
12002,0.38
36746,0.38
21854,0.35
1870,0.5
46818,0.42
43619,0.45
28695,0.22
18170,0.42
38841,0.44
37907,0.67
36867,0.25
37094,0.28
44947,0.62
13704,0.49
42395,0.39
32734,0.26
7702,0.32
6585,0.4
36506,0.23
47832,0.3442857142857143
39479,0.4951428571428572
94,0.37
46605,0.25
27973,0.3342857142857143
46490,0.4
42344,0.46166666666666667
29413,0.52
45818,0.5
21142,0.36
