ID,Predicted
21990,0.3
6594,0.36
18525,0.45
23747,0.4
37752,0.49
15379,0.43
23237,0.41
5302,0.91
29910,0.2358333333333333
5884,0.45
30121,0.59
18830,0.42
7258,0.97
39578,0.29
39356,0.45
12182,0.45
22242,0.53
23632,0.5
19671,0.72
8659,0.33
43512,0.36
9607,0.73
4996,0.44
4878,0.34
43923,0.36
42117,0.34
1232,0.39
34468,0.35
17925,0.31
42518,0.42
8937,0.52
34511,0.32
41357,0.37
4458,0.2
30489,0.39
16857,0.27
38774,0.26
12408,0.65
6144,0.34
12233,0.43
11821,0.84
23457,0.46
38715,0.39
5631,0.22
41432,0.53
5542,0.35
21413,0.84
36957,0.55
45094,0.35
29184,0.56
10658,0.35
12393,0.35
36058,0.85
22262,0.25
32332,0.41
2508,0.41
42066,0.35
19982,0.28
37212,0.78
14222,0.22
38196,0.24
23936,0.21
12220,0.8
32970,0.34
16435,0.62
15020,0.44
24143,0.34
13718,0.39
23200,0.94
24071,0.17583333333333337
42775,0.47
36284,0.35
33211,0.78
21280,0.36
26261,0.32
15283,0.75
9019,0.59
38909,0.41
44407,0.36
4009,0.86
33525,0.45
41646,0.37
32844,0.39
11811,0.33
39160,0.53
13726,0.29
26796,0.27
239,0.39
33264,0.44
39379,0.43
39701,0.33
15794,0.75
6875,0.46
7020,0.37
10484,0.39
35470,0.85
2783,0.93
31159,0.33
29159,0.43
4334,0.36
36788,0.47
25953,0.35
26006,0.77
31508,0.65
37641,0.3
36412,0.28
19968,0.34
42340,0.2
35902,0.45
24811,0.94
3216,0.72
17239,0.3
36241,0.45
18998,0.55
20871,0.37
17556,0.4
15501,0.35
42469,0.37
8831,0.26
37191,0.53
12093,0.85
6791,0.91
1034,0.35
1881,0.51
38118,0.26
47548,0.4
5990,0.4
6576,0.41
35977,0.35
11674,0.79
20249,0.45
22702,0.3
24666,0.77
20653,0.49
34389,0.22
22829,0.82
8537,0.37
25004,0.99
35973,0.64
38181,0.32
43168,0.46
700,0.23
46063,0.95
23090,0.28
24530,0.45
23704,0.53
1051,0.95
43234,0.26
2282,0.22
28931,0.36
20861,0.55
39179,0.3
18466,0.26
5921,0.28
43037,0.31
6612,0.49
15865,0.59
31841,0.45
13752,0.45
36912,0.23
40138,0.42
41440,0.54
32943,0.47
14433,0.36
21665,0.37
42817,0.53
16974,0.45
2248,0.26
7047,0.29
17960,0.73
6670,0.35
1116,0.89
27307,0.25
39264,0.43
4803,0.4
42049,0.43
46322,0.87
20204,0.43
28298,0.59
37921,0.27
30583,0.44
29332,0.41
33579,0.9
1263,0.25
6613,0.26
40405,0.73
31563,0.62
26563,0.75
44672,0.43
25161,0.31
12228,0.32
35368,0.6
17055,0.4
30037,0.42
36647,0.75
9410,0.26
40760,0.32
45184,0.52
45330,0.38
4710,0.48
34047,0.29
11810,0.56
21439,0.38
9378,0.3
37414,0.38
35458,0.86
8674,0.43
16152,0.46
19263,0.4
5682,0.28
43726,0.37
7668,0.29
45192,0.33
23326,0.29
40585,0.38
15460,0.36
5300,0.32
41447,0.37
13728,0.37
47897,0.43
22857,0.96
7444,0.53
16806,0.97
8250,0.39
37022,0.29
34591,0.53
42317,0.37
37780,0.81
28230,0.51
38713,0.45
1221,0.41
12749,0.31
42663,0.22
28063,0.83
33963,0.31
23250,0.31
3647,0.37
13816,0.62
5176,0.41
9399,0.72
31124,0.28
1362,0.33
46627,0.38
40588,0.35
31704,0.27
34477,0.3
46346,0.39
25998,0.39
23092,0.52
6849,0.49
498,0.73
14652,0.66
32045,0.53
21763,0.43
11250,0.5
38904,0.38
8080,0.45
6854,0.57
41126,0.55
3850,0.62
41405,0.3
38620,0.37
22286,0.51
33778,0.43
33392,0.32
12035,0.43
22236,0.32
47188,0.26
2516,0.33
39382,0.4
20094,0.9
44878,0.36
38411,0.22
11579,0.56
569,0.32
462,0.44
20770,0.4
17928,0.67
9431,0.5
31551,0.37
46182,0.31
47884,0.45
34602,0.93
33078,0.41
22815,0.39
34795,0.73
8415,0.32
24289,0.45
15801,0.62
25473,0.45
21326,0.34
24932,0.22
26339,0.78
43797,0.96
8637,0.41
20708,0.33
11637,0.42
26260,0.5
33801,0.3
41287,0.47
736,0.6
40639,0.26
30564,0.47
46534,0.3
44392,0.32
1515,0.27
15200,0.2025
5644,0.3
21121,0.47
9550,0.5
3794,0.59
28849,0.39
42822,0.2733333333333333
11941,0.52
39088,0.35
10560,0.47
26787,0.47
35746,0.37
16457,0.69
9748,0.52
13988,0.64
29369,0.85
10064,0.43
11326,0.44
24673,0.45
811,0.43
28020,0.57
11445,0.41
23793,0.41
24012,0.35
12021,0.37
10938,0.26
42194,0.36
36917,0.29
24168,0.31
7534,0.47
3642,0.39
41768,0.42
38254,0.51
14118,0.32
1885,0.41
21977,0.89
30279,0.28
26094,0.35
39588,0.35
20019,0.36
21288,0.28
34661,0.22
32926,0.37
20113,0.37
550,0.54
12002,0.45
36746,0.37
21854,0.28
1870,0.53
46818,0.43
43619,0.52
28695,0.33
18170,0.41
38841,0.41
37907,0.59
36867,0.3133333333333333
37094,0.35
44947,0.6
13704,0.5772222222222222
42395,0.31
32734,0.19
7702,0.3
6585,0.38
36506,0.3
47832,0.4
39479,0.4
94,0.22
46605,0.3
27973,0.39
46490,0.32
42344,0.38
29413,0.6
45818,0.58
21142,0.29
38618,0.41
21097,0.55
26232,0.37
45091,0.29
14189,0.69
26350,0.53
46422,0.25
2677,0.39
21388,0.25
15456,0.94
43380,0.49
46732,0.39
27928,0.9
44535,0.29
4306,0.73
14997,0.93
32817,0.41
24712,0.45
12636,0.31
4256,0.45
24016,0.73
6507,0.31
41283,0.35
22179,0.18333333333333335
34134,0.44
7681,0.35
17214,0.93
43651,0.23
4719,0.43
44175,0.37
1253,0.29
42654,0.42
15936,0.36
12099,0.25
46904,0.45
20260,0.97
42625,0.8740000000000001
35335,0.74
32049,0.26
4167,0.3
8622,0.45
26315,0.21
7733,0.66
23497,0.45
7190,0.34
36858,0.37
47830,0.33
24728,0.33
17868,0.23
17220,0.53
28645,0.21333333333333332
8790,0.29
13684,0.29
6745,0.95
5785,0.37
39829,0.31
17585,0.39
20377,0.3
5492,0.39
16763,0.41
8706,0.36
36747,0.27
30323,0.31
16488,0.28
11541,0.47
20791,0.4
47665,0.22
44408,0.94
40214,0.53
17246,0.25
46061,0.25
26693,0.31
4858,0.39
905,0.65
40421,0.36
7846,0.4
19275,0.46
21576,0.35
43995,0.37
41949,0.27
21754,0.96
26637,0.36
33700,0.2
6100,0.45
39759,0.37
28578,0.53
20326,0.41
32292,0.44
15624,0.3
30716,0.52
152,0.33
21676,0.59
27454,0.39
20175,0.53
18730,0.19333333333333336
34471,0.32
36391,0.43
7793,0.43
25705,0.31
41386,0.36
18688,0.27
6219,0.34
5192,0.32
6933,0.46
45895,0.95
5813,0.35
21872,0.4
30185,0.36
12668,0.25
10254,0.29
35275,0.59
29852,0.37
41971,0.36
6911,0.42
32806,0.48
7628,0.76
3821,0.37
2752,0.23
36451,0.26
40647,0.39
33721,0.31
46631,0.17583333333333337
23847,0.61
9211,0.39
732,0.53
35392,0.74
47176,0.41
9666,0.88
26337,0.83
16470,0.62
5639,0.94
13330,0.55
38080,0.33
15015,0.31
37883,0.36
21440,0.34
31140,0.45
39768,0.39
43771,0.3
45981,0.65
670,0.31
42565,0.2025
46024,0.41
25393,0.77
6017,0.75
30363,0.35
44748,0.43
23921,0.34
4174,0.57
21275,0.44
6339,0.42
34149,0.92
13463,0.62
44724,0.96
38590,0.5
32123,0.53
2355,0.88
45017,0.28
2960,0.5
1873,0.9
42031,0.39
39543,0.34
30282,0.43
15204,0.34
13696,0.34
47344,0.94
37288,0.28
41426,0.35
11829,0.57
6383,0.31
34900,0.41
38678,0.27
6106,0.3
15301,0.57
44279,0.32
36983,0.46
21040,0.33
2772,0.38
1267,0.43
46101,0.44
32768,0.32
26372,0.52
35535,0.3
27918,0.39
10327,0.31
42216,0.35
40412,0.3
33084,0.44
3812,0.77
20787,0.4
46110,0.42
10829,0.35
23335,0.74
14764,0.31
39775,0.39
42806,0.34
29376,0.54
27855,0.57
1111,0.43
18007,0.4
25573,0.38
28672,0.45
8325,0.53
33831,0.85
39386,0.46
7517,0.33
12753,0.53
35177,0.37
41812,0.35
32830,0.34
21429,0.62
45037,0.65
47016,0.41
17683,0.94
32160,0.38
3529,0.3
22130,0.41
29601,0.36
43216,0.34
790,0.37
27235,0.43
28406,0.48
10142,0.45
16611,0.67
27919,0.36
8767,0.88
19807,0.41
45170,0.82
1637,0.39
12784,0.53
24908,0.88
1764,0.39
24338,0.57
21025,0.45
3093,0.35
14347,0.43
37896,0.6375
47729,0.39
45993,0.34
41651,0.31
1634,0.35
46245,0.74
34820,0.32752380952380944
31893,0.45
33464,0.2
13889,0.62
42732,0.5
4943,0.48
18085,0.42
37285,0.96
14185,0.36
8843,0.34
47599,0.65
1851,0.65
17028,0.75
382,0.38
45615,0.54
18537,0.41
383,0.68
9631,0.276
30457,0.85
41879,0.46
28201,0.42
1230,0.36
2601,0.45
43937,0.21
26111,0.36
11194,0.35
47300,0.32
14734,0.37
6063,0.27
33107,0.73
14718,0.35
19549,0.26
38557,0.3
33202,0.35
18450,0.31
41501,0.39
45893,0.3
38232,0.42
41960,0.82
19771,0.59
7823,0.33
26007,0.53
11246,0.29
40917,0.3
11155,0.77
45889,0.28
2594,0.93
39509,0.36
3322,0.36
28515,0.59
1106,0.99
14594,0.38
3442,0.38
36298,0.27
10721,0.3
2113,0.37
30520,0.99
36124,0.85
1225,0.78
19724,0.4
6689,0.3
25302,0.45
12051,0.39
47371,0.39
6648,0.68
666,0.22
28438,0.94
4337,0.38
8781,0.52
11166,0.5
17843,0.58
42176,0.45
29757,0.37
1154,0.46
20464,0.3
4335,0.45
448,0.18333333333333335
45418,0.62
18766,0.31
26905,0.77
42203,0.41
33679,0.41
47941,0.6
20618,0.44
32377,0.31
33856,0.49
7007,0.45
21324,0.3
8314,0.43
45269,0.33
28928,0.4
576,0.39
47644,0.3
46672,0.29
27707,0.36
33564,0.46
30672,0.38
32442,0.54
3959,0.34
28766,0.45
126,0.35
25428,0.28
44065,0.32
509,0.33
41612,0.41
30075,0.55
43466,0.31
12452,0.28
449,0.45
7888,0.34
3621,0.54
21661,0.28
15895,0.42
1428,0.58
11169,0.64
18799,0.35
26183,0.38
8528,0.34
44560,0.6
24562,0.38
44621,0.6922222222222223
32931,0.23
39549,0.85
39599,0.38
21054,0.47
25494,0.46
16377,0.475
7692,0.62
41436,0.41
46198,0.35
4593,0.33
12776,0.41
12377,0.43
23263,0.94
3370,0.41
2314,0.35
21004,0.38
33838,0.4
41935,0.29
39223,0.8
29912,0.68
12898,0.55
27066,0.36
45210,0.84
11276,0.29
3247,0.2
31007,0.99
15362,0.36
31939,0.37
44023,0.33
29685,0.36
17622,0.6
21354,0.49
39661,0.44
42800,0.36
14028,0.31
3948,0.3
38694,0.27
34787,0.1825
14870,0.5
35583,0.31
24066,0.74
43429,0.45
25185,0.4
22749,0.28
24832,0.38
42440,0.89
29739,0.29
35844,0.32
5969,0.25
39584,0.3
23050,0.38
32496,0.55
29090,0.39
564,0.32
7372,0.53
6064,0.75
41368,0.94
1989,0.35
45437,0.38
8648,0.3
37688,0.45
23856,0.39
9221,0.31
8358,0.45
7061,0.38
26177,0.45
10853,0.34
11343,0.45
26821,0.59
30997,0.36
32054,0.45
40670,0.43
13681,0.34
21691,0.73
29661,0.47
10307,0.33
19412,0.72
16909,0.44
2333,0.48
34498,0.39
18335,0.29
6429,0.36
25745,0.95
3274,0.35
24735,0.36
41608,0.83
42612,0.35
22757,0.47
38335,0.29
10122,0.3
17182,0.39
21263,0.32
32486,0.73
46763,0.95
8313,0.36
13735,0.35
38864,0.38
26259,0.58
7270,0.53
8459,0.29
13261,0.41
14259,0.25
26504,0.21
34107,0.39
34091,0.47
36217,0.96
20951,0.39
3253,0.37
10341,0.29
27260,0.67
25034,0.47
21552,0.24
25648,0.68
4588,0.41
29434,0.33
10546,0.18
45813,0.3
23738,0.27
17024,0.47
23339,0.27
31254,0.94
7003,0.62
41038,0.81
30372,0.51
35037,0.35
43639,0.58
36220,0.3
47154,0.3
20831,0.51
32852,0.37
31467,0.5
39290,0.37
2719,0.24
20795,0.62
45429,0.35
18137,0.27
13687,0.36
18480,0.47
37351,0.29
37740,0.45
33980,0.49
1374,0.33
15903,0.63
5143,0.36
3741,0.36
44230,0.51
13142,0.38
10499,0.3
12747,0.31
26334,0.73
10250,0.7
44649,0.48
31790,0.52
38282,0.41
2674,0.45
8467,0.34
35006,0.82
43106,0.27
38685,0.58
41529,0.79
14774,0.37
42653,0.58
821,0.61
14867,0.48
8948,0.43
18482,0.47
796,0.33
22390,0.52
46600,0.25
29614,0.39
11295,0.55
14059,0.31
32675,0.39
29428,0.4
2798,0.7
11491,0.43
40578,0.33
29953,0.39
10857,0.43
27370,0.95
3660,0.25
11919,0.49
573,0.53
6584,0.34
342,0.4
39210,0.41
31981,0.33
22068,0.3
9876,0.36
17304,0.37
43101,0.36
369,0.32
41123,0.62
